"country","NHLPlayersNumberOfActiveNHLPlayers","NHLPlayersGamesPlayed","NHLPlayersGoalsScored","NHLPlayersAssists","NHLPlayersPoints","NHLPlayersActivePlayerStats"
"United States",298,93313,16056,26684,42740,"https://www.quanthockey.com/nhl/nationality/active-american-nhl-players-career-stats.html"
"Russia",62,17158,3662,5542,9204,"https://www.quanthockey.com/nhl/nationality/active-russian-nhl-players-career-stats.html"
"Germany",8,2007,444,691,1135,"https://www.quanthockey.com/nhl/nationality/active-german-nhl-players-career-stats.html"
"France",1,660,60,71,131,"https://www.quanthockey.com/nhl/nationality/active-french-nhl-players-career-stats.html"
"Canada",445,149121,26094,43042,69136,"https://www.quanthockey.com/nhl/nationality/active-canadian-nhl-players-career-stats.html"
"Australia",1,111,13,14,27,"https://www.quanthockey.com/nhl/nationality/active-australian-nhl-players-career-stats.html"
"Netherlands",1,268,67,49,116,"https://www.quanthockey.com/nhl/nationality/active-french-nhl-players-career-stats.html"
"Sweden",107,31845,5381,10210,15591,"https://www.quanthockey.com/nhl/nationality/active-swedish-nhl-players-career-stats.html"
"Czech Republic",41,10475,1900,3253,5153,"https://www.quanthockey.com/nhl/nationality/active-czech-nhl-players-career-stats.html"
"Belarus",3,330,61,72,133,"https://www.quanthockey.com/nhl/nationality/active-belarussian-nhl-players-career-stats.html"
"Austria",2,22,0,1,1,"https://www.quanthockey.com/nhl/nationality/active-austrian-nhl-players-career-stats.html"
"Switzerland",12,4105,908,1400,2308,"https://www.quanthockey.com/nhl/nationality/active-swiss-nhl-players-career-stats.html"
"Denmark",6,2482,472,596,1068,"https://www.quanthockey.com/nhl/nationality/active-danish-nhl-players-career-stats.html"
"Slovakia",10,2000,263,365,628,"https://www.quanthockey.com/nhl/nationality/active-slovak-nhl-players-career-stats.html"
"Finland",55,12245,2192,3594,5786,"https://www.quanthockey.com/nhl/nationality/active-finnish-nhl-players-career-stats.html"
"Norway",1,766,186,387,573,"https://www.quanthockey.com/nhl/nationality/active-norwegian-nhl-players-career-stats.html"
"Slovenia",1,1292,393,748,1141,"https://www.quanthockey.com/nhl/nationality/active-slovenian-nhl-players-career-stats.html"
"Latvia",5,1217,144,194,338,"https://www.quanthockey.com/nhl/nationality/active-latvian-nhl-players-career-stats.html"